Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Gottschee,FK,SOT,0,1,34,27,-,-
Gottschee,Normal,Blocked,0,1,21,34,,
Gottschee,Normal,Shot,0,0,34,10,,
Gottschee,Volley,Blocked,0,1,17,34,-,-
Boston Bolts U13 MLS Next,Normal,Shot,0,1,74,69,-,-
Gottschee,Normal,Shot,0,0,26,68,,
Gottschee,Volley,Blocked,0,1,8,59,-,-
Gottschee,Normal,SOT,0,0,24,17,,
Gottschee,Volley,Shot,0,1,22,31,-,-
Gottschee,Normal,Goal,0,0,14,36,,
Boston Bolts U13 MLS Next,Normal,Shot,0,1,92,59,-,-
Gottschee,First Time,Shot,0,1,75,57,-,-
Boston Bolts U13 MLS Next,Normal,Blocked,0,1,19,36,-,-
Gottschee,Normal,Shot,0,0,93,58,,
Boston Bolts U13 MLS Next,Volley,Shot,0,1,8,43,-,-
Gottschee,FK,Shot,0,1,76,30,-,-
Gottschee,Normal,Shot,0,0,88,68,,
Boston Bolts U13 MLS Next,Normal,Shot,0,1,20,28,-,-
Gottschee,Volley,Shot,0,1,93,60,-,-
Gottschee,First Time,Goal,0,1,88,59,-,-
Gottschee,FK,Blocked,0,1,73,38,-,-
Gottschee,Volley,SOT,0,1,82,46,-,-
Gottschee,Normal,Shot,0,0,76,33,,
Gottschee,Penalty,Goal,0,1,89,50,-,-
Gottschee,Header,SOT,0,1,91,41,-,-
Gottschee,Normal,Goal,0,0,85,51,,
Gottschee,First Time,SOT,0,1,85,68,-,-
Gottschee,Normal,Goal,0,0,94,56,,