Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U14 MLS Next,Normal,Shot,0,0,77,19,-,-,03/10/2025,Boston Bolts U14 MLS Next,00:07
Boston Bolts U14 MLS Next,Normal,SOT,0,0,96,66,-,-,03/10/2025,Boston Bolts U14 MLS Next,00:43
Boston Bolts U14 MLS Next,FK,Blocked,0,0,78,40,-,-,03/10/2025,Boston Bolts U14 MLS Next,02:56
Boston Bolts U14 MLS Next,Normal,SOT,0,0,94,60,-,-,03/10/2025,Boston Bolts U14 MLS Next,03:58
Boston Bolts U14 MLS Next,Normal,Shot,0,0,95,62,-,-,03/10/2025,Boston Bolts U14 MLS Next,03:58
Seacoast,Normal,Shot,0,0,16,31,-,-,03/10/2025,Boston Bolts U14 MLS Next,08:38
Seacoast,First Time,Shot,0,0,22,63,-,-,03/10/2025,Boston Bolts U14 MLS Next,09:42
Boston Bolts U14 MLS Next,Normal,SOT,0,0,81,69,-,-,03/10/2025,Boston Bolts U14 MLS Next,17:35
Boston Bolts U14 MLS Next,First Time,Shot,0,0,72,40,-,-,03/10/2025,Boston Bolts U14 MLS Next,18:02
Boston Bolts U14 MLS Next,First Time,Goal,0,0,92,54,-,-,03/10/2025,Boston Bolts U14 MLS Next,18:19
Seacoast,Normal,Shot,0,0,23,55,-,-,03/10/2025,Boston Bolts U14 MLS Next,22:16
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,91,43,-,-,03/10/2025,Boston Bolts U14 MLS Next,35:50
Boston Bolts U14 MLS Next,FK,Shot,0,0,71,58,-,-,03/10/2025,Boston Bolts U14 MLS Next,39:08
Boston Bolts U14 MLS Next,First Time,Shot,0,0,22,19,-,-,03/10/2025,Boston Bolts U14 MLS Next,40:44
Seacoast,First Time,Shot,0,0,89,64,-,-,03/10/2025,Boston Bolts U14 MLS Next,42:16
Boston Bolts U14 MLS Next,Header,Shot,0,0,6,42,-,-,03/10/2025,Boston Bolts U14 MLS Next,43:49
Seacoast,Header,Goal,0,0,93,46,-,-,03/10/2025,Boston Bolts U14 MLS Next,48:06
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,12,61,-,-,03/10/2025,Boston Bolts U14 MLS Next,51:20
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,17,40,-,-,03/10/2025,Boston Bolts U14 MLS Next,51:22
Seacoast,Volley,Shot,0,0,82,40,-,-,03/10/2025,Boston Bolts U14 MLS Next,52:24
Boston Bolts U14 MLS Next,Header,SOT,0,0,5,45,-,-,03/10/2025,Boston Bolts U14 MLS Next,53:28
Seacoast,First Time,Blocked,0,0,96,36,-,-,03/10/2025,Boston Bolts U14 MLS Next,55:48
Seacoast,Volley,Blocked,0,0,84,50,-,-,03/10/2025,Boston Bolts U14 MLS Next,56:35
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,18,31,-,-,03/10/2025,Boston Bolts U14 MLS Next,56:36
Boston Bolts U14 MLS Next,Normal,SOT,0,0,16,37,-,-,03/10/2025,Boston Bolts U14 MLS Next,61:18
Boston Bolts U14 MLS Next,Volley,Shot,0,0,6,58,-,-,03/10/2025,Boston Bolts U14 MLS Next,62:00
Boston Bolts U14 MLS Next,First Time,SOT,0,0,19,41,-,-,03/10/2025,Boston Bolts U14 MLS Next,62:44
Boston Bolts U14 MLS Next,Normal,Blocked,0,0,5,43,-,-,03/10/2025,Boston Bolts U14 MLS Next,62:45
Boston Bolts U14 MLS Next,First Time,SOT,0,0,25,41,-,-,03/10/2025,Boston Bolts U14 MLS Next,69:53
Seacoast,Header,Goal,0,0,96,59,-,-,03/10/2025,Boston Bolts U14 MLS Next,70:51
Boston Bolts U14 MLS Next,Normal,SOT,0,0,24,38,-,-,03/10/2025,Boston Bolts U14 MLS Next,72:56
Boston Bolts U14 MLS Next,Normal,Shot,0,0,7,42,-,-,03/10/2025,Boston Bolts U14 MLS Next,73:34
Seacoast,Normal,Blocked,0,0,66,38,-,-,03/10/2025,Boston Bolts U14 MLS Next,74:14
Seacoast,Normal,SOT,0,0,82,29,-,-,03/10/2025,Boston Bolts U14 MLS Next,75:44
Boston Bolts U14 MLS Next,Normal,Shot,0,0,20,60,-,-,03/10/2025,Boston Bolts U14 MLS Next,75:49
Boston Bolts U14 MLS Next,Normal,Shot,0,0,16,56,-,-,03/10/2025,Boston Bolts U14 MLS Next,75:53
Seacoast,Normal,Blocked,0,0,83,58,-,-,03/10/2025,Boston Bolts U14 MLS Next,76:49
Boston Bolts U14 MLS Next,Normal,SOT,0,0,16,68,-,-,03/10/2025,Boston Bolts U14 MLS Next,80:51
Boston Bolts U14 MLS Next,Volley,Shot,0,0,23,32,-,-,03/10/2025,Boston Bolts U14 MLS Next,81:28